kind,task,machine_selectable,process_time,cost_count
0,0,"(6,)","(13,)","[[], [1]]"
0,1,"(1,)","(10,)","[[(0, 0)], [1]]"
0,2,"(5, 2)","(20, 10)","[[(0, 1)], [1]]"
0,3,"(2, 5, 6, 7, 3, 4, 1)","(18, 16, 19, 11, 14, 11, 13)","[[(0, 2)], [1]]"
0,4,"(4,)","(11,)","[[(0, 3)], [1]]"
0,5,"(4, 2, 7, 1, 0, 6, 3, 5)","(20, 14, 15, 16, 12, 10, 18, 17)","[[(0, 4)], [1]]"
1,0,"(6, 1, 5, 3, 4, 2)","(10, 19, 11, 16, 13, 14)","[[], [1]]"
1,1,"(5, 1, 3, 6)","(15, 17, 19, 12)","[[(1, 0)], [1]]"
1,2,"(2, 3, 7, 1, 4, 0)","(20, 13, 10, 20, 12, 12)","[[(1, 1)], [1]]"
1,3,"(5, 6)","(15, 18)","[[(1, 2)], [1]]"
1,4,"(1, 4, 0, 5)","(14, 11, 19, 17)","[[(1, 3)], [1]]"
1,5,"(7, 6, 0, 2)","(20, 12, 10, 17)","[[(1, 4)], [1]]"
2,0,"(1, 2, 0, 3)","(20, 16, 19, 18)","[[], [1]]"
2,1,"(6, 5, 1)","(14, 20, 15)","[[(2, 0)], [1]]"
2,2,"(2, 4, 6, 3, 7, 1, 0, 5)","(16, 20, 14, 12, 18, 10, 17, 11)","[[(2, 1)], [1]]"
2,3,"(4, 3)","(15, 10)","[[(2, 2)], [1]]"
2,4,"(6, 7)","(18, 14)","[[(2, 3)], [1]]"
2,5,"(4, 6, 3, 2, 0, 1)","(12, 13, 17, 15, 19, 14)","[[(2, 4)], [1]]"
3,0,"(0, 4, 6, 5, 1, 7, 3, 2)","(20, 15, 19, 20, 19, 12, 14, 16)","[[], [1]]"
3,1,"(5, 1)","(16, 20)","[[(3, 0)], [1]]"
3,2,"(6, 4, 0, 5, 7)","(11, 10, 19, 13, 15)","[[(3, 1)], [1]]"
3,3,"(1, 4, 5, 2, 7)","(12, 13, 13, 20, 17)","[[(3, 2)], [1]]"
3,4,"(1, 4)","(16, 20)","[[(3, 3)], [1]]"
3,5,"(1, 6, 4, 3, 2, 7)","(19, 16, 10, 16, 19, 16)","[[(3, 4)], [1]]"
4,0,"(1, 2, 7, 4)","(20, 10, 12, 17)","[[], [1]]"
4,1,"(7, 5, 1, 6, 3)","(11, 14, 12, 17, 18)","[[(4, 0)], [1]]"
4,2,"(6, 1, 2, 7, 5, 3, 4, 0)","(17, 18, 19, 10, 10, 17, 15, 14)","[[(4, 1)], [1]]"
4,3,"(2, 7)","(17, 10)","[[(4, 2)], [1]]"
4,4,"(2, 3, 7, 4, 0, 1, 6)","(16, 13, 18, 20, 11, 12, 10)","[[(4, 3)], [1]]"
4,5,"(4, 2, 6, 0, 1, 3)","(16, 20, 16, 15, 10, 13)","[[(4, 4)], [1]]"
5,0,"(2, 6, 5, 4)","(10, 10, 20, 18)","[[], [1]]"
5,1,"(5, 7, 2, 4, 1)","(19, 11, 13, 11, 19)","[[(5, 0)], [1]]"
5,2,"(1, 6, 4)","(20, 13, 14)","[[(5, 1)], [1]]"
5,3,"(1, 2, 4, 0)","(14, 12, 11, 17)","[[(5, 2)], [1]]"
5,4,"(1, 7, 0)","(16, 20, 11)","[[(5, 3)], [1]]"
5,5,"(4,)","(10,)","[[(5, 4)], [1]]"
6,0,"(0, 2, 7, 4, 1)","(14, 17, 11, 14, 12)","[[], [1]]"
6,1,"(4, 7, 1, 0, 5, 2, 6, 3)","(20, 18, 20, 20, 15, 11, 12, 14)","[[(6, 0)], [1]]"
6,2,"(4, 7)","(10, 10)","[[(6, 1)], [1]]"
6,3,"(6, 2)","(10, 13)","[[(6, 2)], [1]]"
6,4,"(7, 1, 4)","(20, 14, 18)","[[(6, 3)], [1]]"
6,5,"(6, 2, 4)","(15, 15, 19)","[[(6, 4)], [1]]"
7,0,"(2,)","(10,)","[[], [1]]"
7,1,"(0, 3)","(19, 20)","[[(7, 0)], [1]]"
7,2,"(6, 0, 3, 1, 2, 7, 4)","(17, 20, 17, 20, 16, 15, 18)","[[(7, 1)], [1]]"
7,3,"(0, 7, 1, 3, 2)","(12, 13, 16, 19, 14)","[[(7, 2)], [1]]"
7,4,"(6, 4, 5, 0)","(10, 12, 12, 14)","[[(7, 3)], [1]]"
7,5,"(3, 0, 2, 4)","(15, 15, 15, 11)","[[(7, 4)], [1]]"
8,0,"(2, 0, 5, 6, 7, 4, 1)","(15, 19, 10, 10, 14, 12, 12)","[[], [1]]"
8,1,"(1, 3, 4, 5, 2)","(19, 14, 15, 16, 18)","[[(8, 0)], [1]]"
8,2,"(5, 2, 1, 7, 0, 6, 3, 4)","(12, 14, 11, 17, 13, 10, 14, 12)","[[(8, 1)], [1]]"
8,3,"(2, 4, 1, 5, 7, 3, 0, 6)","(18, 11, 14, 16, 15, 14, 16, 11)","[[(8, 2)], [1]]"
8,4,"(7, 2, 5, 3, 6, 4)","(11, 18, 17, 17, 15, 15)","[[(8, 3)], [1]]"
8,5,"(7, 3)","(11, 17)","[[(8, 4)], [1]]"
9,0,"(5, 1, 0, 4, 7, 2)","(11, 17, 16, 10, 14, 15)","[[], [1]]"
9,1,"(4, 2)","(20, 12)","[[(9, 0)], [1]]"
9,2,"(1, 3, 0, 6, 2, 5, 7, 4)","(12, 20, 19, 16, 20, 11, 11, 11)","[[(9, 1)], [1]]"
9,3,"(0, 4, 2, 7, 5, 6)","(13, 13, 10, 16, 10, 11)","[[(9, 2)], [1]]"
9,4,"(1, 4, 0, 6)","(16, 18, 18, 14)","[[(9, 3)], [1]]"
9,5,"(3, 4, 0, 6)","(17, 17, 19, 20)","[[(9, 4)], [1]]"
10,0,"(6,)","(13,)","[[], [1]]"
10,1,"(0, 5, 3, 7, 6)","(16, 11, 15, 13, 14)","[[(10, 0)], [1]]"
10,2,"(1, 3)","(19, 12)","[[(10, 1)], [1]]"
10,3,"(5, 4, 6, 2)","(16, 13, 15, 11)","[[(10, 2)], [1]]"
10,4,"(6, 5, 3, 0, 7, 2)","(11, 10, 18, 17, 20, 13)","[[(10, 3)], [1]]"
10,5,"(3, 2, 1)","(11, 17, 16)","[[(10, 4)], [1]]"
11,0,"(0, 2, 3, 5, 4, 1)","(14, 13, 20, 10, 13, 19)","[[], [1]]"
11,1,"(0, 2, 4, 6, 1, 5, 3)","(12, 11, 13, 17, 16, 15, 18)","[[(11, 0)], [1]]"
11,2,"(7,)","(12,)","[[(11, 1)], [1]]"
11,3,"(2, 7)","(11, 19)","[[(11, 2)], [1]]"
11,4,"(4, 5, 7)","(17, 12, 19)","[[(11, 3)], [1]]"
11,5,"(1, 3, 4, 5)","(16, 20, 20, 16)","[[(11, 4)], [1]]"
12,0,"(10,)","(18,)","[[(6, 5), (0, 5)], [1, 1]]"
12,1,"(9,)","(17,)","[[(4, 5), (8, 5)], [1, 1]]"
12,2,"(11,)","(20,)","[[(12, 0), (12, 1)], [1, 1]]"
13,0,"(11,)","(15,)","[[(10, 5), (11, 5)], [2, 1]]"
13,1,"(8, 11)","(17, 17)","[[(3, 5), (5, 5)], [2, 2]]"
13,2,"(9,)","(20,)","[[(13, 0), (13, 1)], [1, 1]]"
14,0,"(10, 11, 9, 8)","(20, 13, 18, 19)","[[(2, 5), (9, 5)], [2, 2]]"
14,1,"(8,)","(13,)","[[(14, 0), (1, 5)], [2, 1]]"
14,2,"(10, 9, 11)","(10, 15, 15)","[[(14, 1), (7, 5)], [1, 1]]"
