kind,task,machine_selectable,process_time,cost_count
0,0,"(9, 7, 2, 1, 5, 3, 8)","(266, 354, 74, 78, 366, 100, 282)","[[], 1]"
0,1,"(5, 6, 8)","(360, 177, 189)","[[(0, 0)], 1]"
0,2,"(4, 9, 2)","(229, 162, 246)","[[(0, 1)], 1]"
0,3,"(3, 8)","(375, 383)","[[(0, 2)], 1]"
0,4,"(9, 7, 4, 8, 6, 1)","(186, 199, 278, 320, 254, 286)","[[(0, 3)], 1]"
1,0,"(3, 5, 9, 6)","(336, 123, 148, 383)","[[], 1]"
1,1,"(7, 9, 4, 0, 5, 1, 2, 8, 6)","(333, 307, 192, 129, 372, 317, 45, 317, 144)","[[(1, 0)], 1]"
1,2,"(3, 4, 8, 9, 2)","(353, 121, 367, 119, 161)","[[(1, 1)], 1]"
1,3,"(4, 3, 7, 9, 8)","(291, 120, 97, 120, 339)","[[(1, 2)], 1]"
2,0,"(1, 0)","(253, 314)","[[], 1]"
2,1,"(2, 1, 7)","(291, 378, 110)","[[(2, 0)], 1]"
2,2,"(9, 3, 0, 2, 8, 6, 7)","(239, 266, 206, 55, 224, 279, 338)","[[(2, 1)], 1]"
2,3,"(9, 7, 2, 0, 1, 6, 8, 3, 4, 5)","(123, 110, 107, 187, 253, 94, 95, 63, 81, 293)","[[(2, 2)], 1]"
3,0,"(3,)","(278,)","[[], 1]"
3,1,"(9, 1, 3)","(398, 85, 103)","[[(3, 0)], 1]"
3,2,"(5, 7)","(74, 90)","[[(3, 1)], 1]"
3,3,"(8, 6, 9, 5, 1, 4, 7, 0, 3)","(218, 389, 111, 185, 191, 364, 241, 400, 366)","[[(3, 2)], 1]"
4,0,"(4, 5, 0, 6, 8, 7)","(371, 191, 249, 258, 73, 186)","[[], 1]"
4,1,"(0, 6, 3, 5)","(236, 138, 307, 169)","[[(4, 0)], 1]"
4,2,"(1,)","(145,)","[[(4, 1)], 1]"
4,3,"(1, 9, 7, 0, 8, 3, 5)","(295, 180, 203, 311, 277, 151, 159)","[[(4, 2)], 1]"
4,4,"(0, 3, 2, 7, 8, 6, 9, 5, 4)","(116, 92, 336, 176, 207, 80, 293, 138, 333)","[[(4, 3)], 1]"
5,0,"(4, 8, 9, 7)","(260, 163, 88, 389)","[[], 1]"
5,1,"(9, 3, 8, 2, 0, 1, 7, 4)","(236, 356, 250, 393, 345, 376, 199, 280)","[[(5, 0)], 1]"
5,2,"(2, 7, 8, 4, 0, 1, 3, 5, 6, 9)","(53, 375, 222, 111, 230, 291, 168, 345, 72, 212)","[[(5, 1)], 1]"
5,3,"(9, 2, 7, 1, 6, 3, 0, 5)","(328, 316, 267, 228, 369, 300, 268, 87)","[[(5, 2)], 1]"
5,4,"(7, 0)","(338, 63)","[[(5, 3)], 1]"
6,0,"(3,)","(397,)","[[], 1]"
6,1,"(9, 4, 5, 3, 0, 7)","(192, 47, 217, 179, 300, 351)","[[(6, 0)], 1]"
