kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 11, 4)","(17, 18, 11)","[[], [1]]"
0,1,"(5, 2)","(15, 16)","[[(0, 0)], [1]]"
1,0,"(6, 1, 10, 2, 7, 5, 11, 0, 3, 4)","(15, 19, 20, 13, 18, 17, 17, 18, 14, 10)","[[], [1]]"
1,1,"(2, 4, 8, 9, 5)","(18, 10, 11, 16, 20)","[[(1, 0)], [1]]"
2,0,"(1, 9, 0, 5, 11, 2, 8, 6, 3)","(20, 10, 19, 17, 15, 13, 15, 11, 13)","[[], [1]]"
2,1,"(3, 7, 2, 9, 8, 1, 11, 0, 6, 10, 5, 4)","(19, 13, 13, 12, 18, 17, 11, 11, 15, 18, 17, 11)","[[(2, 0)], [1]]"
3,0,"(0, 6, 4, 2, 5, 3, 11, 9, 7, 10)","(14, 18, 14, 11, 18, 15, 18, 13, 19, 18)","[[], [1]]"
3,1,"(1, 2, 11)","(19, 14, 17)","[[(3, 0)], [1]]"
4,0,"(15, 13, 17)","(11, 19, 16)","[[(3, 1), (0, 1)], [1, 1]]"
4,1,"(16,)","(15,)","[[(4, 0), (1, 1)], [2, 2]]"
4,2,"(14, 16, 13, 17, 12, 15)","(19, 13, 14, 12, 13, 12)","[[(4, 1), (2, 1)], [1, 1]]"
5,0,"(16,)","(10,)","[[(2, 1), (1, 1)], [2, 2]]"
5,1,"(17, 13, 16, 14, 15, 12)","(19, 20, 14, 17, 11, 11)","[[(3, 1), (0, 1)], [2, 2]]"
5,2,"(16, 14, 17)","(20, 12, 12)","[[(5, 0), (5, 1)], [2, 1]]"
