kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 2, 1, 7, 3, 0)","(12, 13, 12, 10, 19, 20)","[[], [1]]"
0,1,"(1, 6, 3, 7, 0, 4, 2, 5)","(14, 17, 11, 11, 20, 12, 12, 10)","[[(0, 0)], [1]]"
0,2,"(5, 2)","(11, 18)","[[(0, 1)], [1]]"
0,3,"(2, 5, 6, 7, 3, 4)","(20, 16, 18, 14, 18, 13)","[[(0, 2)], [1]]"
1,0,"(4, 5, 1, 6, 3, 2, 0)","(13, 20, 19, 16, 19, 14, 17)","[[], [1]]"
1,1,"(4, 2, 7, 1, 0, 6)","(17, 20, 20, 15, 11, 15)","[[(1, 0)], [1]]"
1,2,"(6, 1, 5, 3)","(19, 11, 17, 19)","[[(1, 1)], [1]]"
1,3,"(5, 1, 3, 6, 0, 7, 4, 2)","(20, 15, 13, 13, 10, 14, 11, 13)","[[(1, 2)], [1]]"
2,0,"(2, 3, 7, 1, 4, 0, 6, 5)","(15, 12, 15, 16, 10, 11, 12, 13)","[[], [1]]"
2,1,"(5, 6, 3, 4, 1)","(10, 19, 20, 18, 19)","[[(2, 0)], [1]]"
2,2,"(1,)","(20,)","[[(2, 1)], [1]]"
2,3,"(7,)","(11,)","[[(2, 2)], [1]]"
3,0,"(1, 2)","(10, 11)","[[], [1]]"
3,1,"(6, 5, 1, 2, 3, 7, 0)","(20, 13, 19, 19, 11, 16, 11)","[[(3, 0)], [1]]"
3,2,"(2,)","(15,)","[[(3, 1)], [1]]"
3,3,"(4, 3, 7, 2, 1, 0, 6, 5)","(11, 10, 19, 10, 13, 12, 11, 17)","[[(3, 2)], [1]]"
4,0,"(6, 7, 1, 4, 2, 3)","(13, 10, 20, 10, 18, 16)","[[], [1]]"
4,1,"(4, 6, 3, 2)","(19, 11, 14, 11)","[[(4, 0)], [1]]"
4,2,"(0, 4, 6, 5, 1, 7)","(13, 11, 20, 14, 15, 16)","[[(4, 1)], [1]]"
4,3,"(5, 1)","(12, 10)","[[(4, 2)], [1]]"
5,0,"(6, 4, 0, 5)","(18, 17, 10, 19)","[[], [1]]"
5,1,"(1, 4, 5, 2)","(11, 16, 13, 14)","[[(5, 0)], [1]]"
5,2,"(1, 4, 7, 5)","(15, 17, 19, 12)","[[(5, 1)], [1]]"
5,3,"(1, 6, 4)","(20, 13, 10)","[[(5, 2)], [1]]"
6,0,"(1, 2, 7, 4, 6, 0, 5, 3)","(20, 12, 12, 15, 18, 14, 11, 19)","[[], [1]]"
6,1,"(7, 5)","(17, 20)","[[(6, 0)], [1]]"
6,2,"(6, 1)","(12, 10)","[[(6, 1)], [1]]"
6,3,"(2, 7, 6, 4, 0, 3)","(17, 20, 16, 19, 18, 14)","[[(6, 2)], [1]]"
7,0,"(2, 3, 7, 4, 0, 1, 6, 5)","(20, 15, 16, 20, 14, 12, 18, 10)","[[], [1]]"
7,1,"(4, 2)","(17, 11)","[[(7, 0)], [1]]"
7,2,"(2, 6, 5, 4, 0)","(15, 10, 18, 14, 12)","[[(7, 1)], [1]]"
7,3,"(5, 7, 2, 4, 1)","(13, 17, 15, 19, 14)","[[(7, 2)], [1]]"
8,0,"(10,)","(20,)","[[(6, 3), (0, 3)], [2, 1]]"
8,1,"(8, 9, 10)","(15, 19, 20)","[[(8, 0), (2, 3)], [1, 2]]"
8,2,"(9, 8)","(19, 12)","[[(8, 1), (4, 3)], [1, 2]]"
9,0,"(9, 8, 11)","(14, 16, 16)","[[(7, 3), (3, 3)], [1, 2]]"
9,1,"(8, 10, 11, 9)","(20, 11, 10, 19)","[[(5, 3), (1, 3)], [2, 1]]"
9,2,"(10,)","(13,)","[[(9, 0), (9, 1)], [1, 2]]"
10,0,"(9, 10, 11, 8)","(15, 12, 13, 13)","[[(2, 3), (7, 3)], [2, 2]]"
10,1,"(8, 11, 9)","(20, 17, 16)","[[(10, 0), (1, 3)], [2, 1]]"
11,0,"(9, 10)","(20, 19)","[[(4, 3), (7, 3)], [2, 1]]"
11,1,"(8, 10, 9)","(16, 10, 16)","[[(11, 0), (5, 3)], [1, 1]]"
