kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 3, 4)","(247, 328, 71)","[[], 1]"
0,1,"(4, 7, 6, 3, 1)","(177, 138, 360, 142, 352)","[[(0, 0)], 1]"
0,2,"(0, 5, 7, 9, 1)","(248, 343, 172, 323, 196)","[[(0, 1)], 1]"
0,3,"(5, 1, 8, 2, 6, 7, 0, 9, 4, 3)","(358, 363, 228, 85, 318, 235, 150, 46, 291, 91)","[[(0, 2)], 1]"
1,0,"(0,)","(297,)","[[], 1]"
1,1,"(8, 4, 9, 3, 7, 0, 6)","(157, 398, 227, 359, 119, 374, 77)","[[(1, 0)], 1]"
1,2,"(5, 1, 2, 3, 6)","(127, 349, 320, 370, 68)","[[(1, 1)], 1]"
1,3,"(0, 5, 8, 6, 3, 9)","(322, 219, 246, 375, 84, 246)","[[(1, 2)], 1]"
1,4,"(4, 3, 2, 9, 7, 5, 1, 0, 8, 6)","(304, 191, 59, 53, 165, 331, 97, 346, 196, 227)","[[(1, 3)], 1]"
2,0,"(5, 8, 6)","(369, 63, 60)","[[], 1]"
2,1,"(4, 2, 3, 5, 8)","(124, 241, 106, 334, 198)","[[(2, 0)], 1]"
2,2,"(4,)","(158,)","[[(2, 1)], 1]"
2,3,"(6, 4, 7, 8, 1, 0, 5, 2, 3, 9)","(69, 127, 376, 173, 176, 209, 66, 330, 333, 295)","[[(2, 2)], 1]"
3,0,"(6, 8, 3, 4, 5, 0, 7, 9, 1, 2)","(391, 312, 234, 77, 327, 333, 79, 398, 80, 80)","[[], 1]"
3,1,"(0, 3, 8, 7, 4, 1)","(146, 328, 313, 371, 325, 42)","[[(3, 0)], 1]"
3,2,"(1, 4, 2, 7, 5, 9, 0)","(374, 183, 202, 321, 364, 67, 357)","[[(3, 1)], 1]"
3,3,"(4, 7, 2, 5, 3, 0, 8, 9, 1)","(180, 51, 366, 256, 385, 49, 263, 172, 261)","[[(3, 2)], 1]"
4,0,"(9, 7, 4, 8, 6, 3)","(151, 301, 250, 62, 288, 380)","[[], 1]"
4,1,"(7,)","(222,)","[[(4, 0)], 1]"
4,2,"(5, 4, 6, 8, 7, 3)","(214, 252, 70, 228, 124, 67)","[[(4, 1)], 1]"
4,3,"(3, 8, 5, 6, 2, 9)","(257, 355, 317, 224, 335, 289)","[[(4, 2)], 1]"
5,0,"(3, 5)","(348, 155)","[[], 1]"
5,1,"(3, 4, 6, 8, 9, 1, 2, 7)","(373, 344, 212, 267, 212, 54, 201, 144)","[[(5, 0)], 1]"
5,2,"(4, 8, 3)","(398, 307, 200)","[[(5, 1)], 1]"
5,3,"(3, 7, 4, 0, 9, 6, 2)","(40, 130, 50, 336, 333, 242, 258)","[[(5, 2)], 1]"
6,0,"(6, 0, 7, 5, 2, 8, 4, 1, 9)","(383, 210, 210, 195, 160, 163, 223, 318, 55)","[[], 1]"
6,1,"(6, 5, 4, 0, 8, 3, 9)","(61, 228, 125, 306, 57, 277, 318)","[[(6, 0)], 1]"
6,2,"(2, 5, 7, 0, 9, 4, 6)","(154, 108, 305, 279, 141, 164, 128)","[[(6, 1)], 1]"
6,3,"(8, 6, 4, 1, 7, 5, 9, 2)","(80, 231, 313, 230, 55, 231, 221, 152)","[[(6, 2)], 1]"
7,0,"(3, 8, 6, 5, 2, 9, 0, 1, 4, 7)","(51, 237, 399, 360, 162, 57, 273, 50, 159, 79)","[[], 1]"
7,1,"(3, 9, 6, 8, 1, 4, 2, 7, 0)","(127, 94, 293, 204, 143, 203, 383, 398, 330)","[[(7, 0)], 1]"
7,2,"(3,)","(394,)","[[(7, 1)], 1]"
7,3,"(6, 1, 7, 8, 3, 0, 4, 2, 9)","(237, 263, 294, 202, 291, 302, 260, 129, 56)","[[(7, 2)], 1]"
8,0,"(4, 8, 7, 9, 2, 3, 0, 5, 6, 1)","(321, 89, 280, 156, 374, 117, 358, 203, 108, 283)","[[], 1]"
8,1,"(6, 8, 7, 3)","(47, 103, 249, 295)","[[(8, 0)], 1]"
8,2,"(2, 0, 3, 4)","(288, 86, 350, 98)","[[(8, 1)], 1]"
9,0,"(3, 0, 9, 2, 6, 8)","(228, 65, 192, 324, 331, 124)","[[], 1]"
9,1,"(5, 6, 4, 3, 7, 8, 1)","(373, 297, 135, 151, 153, 216, 45)","[[(9, 0)], 1]"
9,2,"(2, 1, 4, 6, 0, 5, 8, 9)","(161, 367, 348, 248, 171, 336, 163, 353)","[[(9, 1)], 1]"
9,3,"(9, 8, 2, 4, 1, 5, 3, 6)","(198, 77, 64, 345, 122, 376, 160, 291)","[[(9, 2)], 1]"
10,0,"(12, 11, 14, 13, 10)","(354, 243, 115, 342, 171)","[[(7, 3), (1, 4)], [3, 2]]"
10,1,"(11, 13, 10, 12, 14)","(287, 280, 61, 138, 142)","[[(5, 3), (0, 3)], [3, 1]]"
10,2,"(11, 14)","(306, 266)","[[(10, 0), (10, 1)], [1, 1]]"
11,0,"(14, 12, 13, 10, 11)","(234, 152, 246, 222, 121)","[[(8, 2), (6, 3)], [3, 3]]"
11,1,"(13, 14, 10)","(245, 386, 366)","[[(11, 0), (9, 3)], [1, 3]]"
11,2,"(12, 14)","(75, 378)","[[(11, 1), (4, 3)], [3, 3]]"
12,0,"(12,)","(93,)","[[(2, 3), (3, 3)], [3, 1]]"
12,1,"(10, 12, 11, 14, 13)","(209, 277, 260, 263, 380)","[[(12, 0), (4, 3)], [2, 1]]"
12,2,"(12, 14, 13, 11, 10)","(153, 81, 347, 289, 212)","[[(12, 1), (5, 3)], [2, 2]]"
13,0,"(11, 14, 12, 10, 13)","(305, 112, 368, 112, 255)","[[(4, 3), (5, 3)], [2, 1]]"
13,1,"(14, 12, 11)","(357, 153, 377)","[[(13, 0), (7, 3)], [3, 2]]"
13,2,"(13, 12)","(290, 64)","[[(13, 1), (0, 3)], [2, 1]]"
14,0,"(12, 14)","(93, 125)","[[(7, 3), (9, 3)], [1, 1]]"
14,1,"(13, 14, 11, 12)","(95, 182, 337, 308)","[[(14, 0), (2, 3)], [2, 3]]"
14,2,"(14, 12, 11, 13)","(258, 299, 229, 242)","[[(14, 1), (3, 3)], [2, 2]]"
