kind,task,machine_selectable,process_time,cost_count
0,0,"(9, 0)","(387, 286)","[[], 1]"
0,1,"(6, 0, 4, 2, 3)","(378, 303, 367, 219, 291)","[[(0, 0)], 1]"
0,2,"(1,)","(227,)","[[(0, 1)], 1]"
1,0,"(7, 0, 8, 5, 9, 4, 3, 2, 1)","(315, 46, 281, 308, 173, 191, 335, 52, 86)","[[], 1]"
1,1,"(4, 1, 5)","(326, 153, 353)","[[(1, 0)], 1]"
1,2,"(4, 0, 9, 7, 8, 3, 2, 1, 5, 6)","(349, 111, 370, 373, 187, 354, 335, 343, 79, 341)","[[(1, 1)], 1]"
1,3,"(0, 7, 6)","(188, 139, 198)","[[(1, 2)], 1]"
2,0,"(3,)","(46,)","[[], 1]"
2,1,"(8, 2, 9, 5, 6)","(150, 361, 340, 308, 63)","[[(2, 0)], 1]"
2,2,"(8, 6, 5, 1, 7, 4, 0)","(231, 220, 43, 310, 392, 283, 188)","[[(2, 1)], 1]"
2,3,"(3, 1)","(93, 123)","[[(2, 2)], 1]"
2,4,"(1, 4)","(111, 206)","[[(2, 3)], 1]"
3,0,"(1, 3, 4, 2, 7, 6, 0, 9, 5)","(82, 189, 294, 393, 57, 101, 394, 253, 362)","[[], 1]"
3,1,"(0, 3, 4, 1)","(93, 310, 147, 271)","[[(3, 0)], 1]"
3,2,"(2,)","(194,)","[[(3, 1)], 1]"
3,3,"(7, 1, 2, 6, 3, 8, 5, 4, 9)","(122, 41, 357, 151, 56, 95, 237, 180, 399)","[[(3, 2)], 1]"
4,0,"(1, 7, 6, 5, 4, 9, 3, 2, 8)","(345, 309, 191, 395, 179, 46, 167, 384, 289)","[[], 1]"
4,1,"(8, 5)","(214, 274)","[[(4, 0)], 1]"
4,2,"(7, 0, 6, 3, 8, 4, 9, 1)","(187, 47, 284, 242, 265, 264, 258, 144)","[[(4, 1)], 1]"
4,3,"(8, 7, 2, 9, 6, 5)","(365, 87, 102, 341, 124, 274)","[[(4, 2)], 1]"
4,4,"(4, 3, 6, 1, 2)","(60, 281, 346, 51, 90)","[[(4, 3)], 1]"
5,0,"(5, 4)","(307, 311)","[[], 1]"
5,1,"(2, 3, 6, 9, 0)","(350, 203, 222, 190, 382)","[[(5, 0)], 1]"
5,2,"(5, 4, 3, 8, 2, 0, 6, 1)","(156, 280, 132, 154, 397, 138, 134, 92)","[[(5, 1)], 1]"
5,3,"(9, 0, 1, 3, 7, 8, 5, 6, 2, 4)","(155, 316, 159, 139, 125, 280, 130, 288, 97, 172)","[[(5, 2)], 1]"
5,4,"(3, 5, 8, 2, 9, 4, 0, 1, 6, 7)","(295, 251, 272, 236, 237, 353, 209, 261, 282, 53)","[[(5, 3)], 1]"
6,0,"(2, 1)","(363, 189)","[[], 1]"
6,1,"(9, 8, 2, 4)","(123, 136, 219, 231)","[[(6, 0)], 1]"
6,2,"(8, 6, 7, 1, 9, 4, 2)","(380, 265, 44, 342, 387, 41, 75)","[[(6, 1)], 1]"
7,0,"(9, 8, 6, 7, 2, 1, 3, 4, 5, 0)","(177, 375, 168, 114, 44, 149, 151, 343, 122, 63)","[[], 1]"
7,1,"(4, 5, 9, 0, 6, 3, 2, 8, 7)","(396, 239, 102, 261, 230, 367, 55, 179, 311)","[[(7, 0)], 1]"
7,2,"(8, 4)","(364, 166)","[[(7, 1)], 1]"
8,0,"(1,)","(288,)","[[], 1]"
8,1,"(9, 5, 6, 0, 7, 1, 3, 8, 4)","(224, 333, 201, 351, 332, 63, 176, 143, 349)","[[(8, 0)], 1]"
8,2,"(7,)","(238,)","[[(8, 1)], 1]"
8,3,"(8, 9, 7, 4, 2, 5, 0, 6)","(42, 319, 192, 209, 174, 331, 221, 234)","[[(8, 2)], 1]"
8,4,"(7, 4, 5, 9, 1, 6, 3, 2, 8)","(336, 367, 157, 346, 53, 156, 96, 361, 138)","[[(8, 3)], 1]"
9,0,"(9, 6, 1, 4, 0, 5, 2, 8, 3, 7)","(269, 290, 198, 348, 189, 199, 51, 395, 342, 62)","[[], 1]"
9,1,"(9, 2, 0, 3, 6, 8)","(332, 233, 126, 179, 109, 165)","[[(9, 0)], 1]"
9,2,"(4, 9, 6, 5, 3)","(73, 106, 87, 237, 270)","[[(9, 1)], 1]"
9,3,"(7, 3, 6)","(134, 296, 156)","[[(9, 2)], 1]"
10,0,"(12,)","(254,)","[[(7, 2), (5, 4)], [1, 1]]"
10,1,"(11, 12, 10)","(232, 348, 209)","[[(8, 4), (0, 2)], [3, 2]]"
10,2,"(12, 10)","(240, 247)","[[(10, 0), (10, 1)], [1, 3]]"
11,0,"(12, 13, 14, 11, 10)","(230, 149, 395, 320, 184)","[[(2, 4), (1, 3)], [3, 3]]"
11,1,"(11, 14)","(210, 168)","[[(11, 0), (3, 3)], [3, 2]]"
12,0,"(11,)","(81,)","[[(9, 3), (4, 4)], [3, 3]]"
12,1,"(11, 12, 14, 10, 13)","(313, 65, 101, 114, 55)","[[(6, 2), (8, 4)], [2, 2]]"
12,2,"(13, 14)","(259, 78)","[[(12, 0), (12, 1)], [3, 2]]"
13,0,"(13, 11)","(72, 364)","[[(8, 4), (5, 4)], [3, 1]]"
13,1,"(11, 14, 12)","(390, 230, 345)","[[(1, 3), (3, 3)], [3, 2]]"
13,2,"(13, 12)","(254, 204)","[[(13, 0), (13, 1)], [3, 3]]"
