kind,task,machine_selectable,process_time,cost_count
0,0,"(5, 6, 0, 9, 2, 3, 1, 8, 7, 4)","(223, 63, 344, 198, 221, 203, 131, 42, 364, 43)","[[], 1]"
0,1,"(8, 3, 6, 7, 0)","(76, 180, 153, 170, 183)","[[(0, 0)], 1]"
0,2,"(1, 5, 9, 4, 6, 8, 3)","(231, 228, 262, 253, 110, 216, 104)","[[(0, 1)], 1]"
1,0,"(4, 2, 6, 9, 3, 7, 8, 1, 5, 0)","(260, 249, 252, 380, 187, 174, 162, 76, 67, 197)","[[], 1]"
1,1,"(6,)","(119,)","[[(1, 0)], 1]"
1,2,"(7, 9, 0, 3, 6, 4, 8)","(53, 53, 239, 144, 284, 298, 113)","[[(1, 1)], 1]"
2,0,"(2, 4, 0, 6, 1)","(359, 41, 276, 79, 248)","[[], 1]"
2,1,"(0, 9, 8, 6, 5)","(361, 347, 309, 369, 332)","[[(2, 0)], 1]"
2,2,"(0, 9, 7, 3, 2, 6, 8, 1, 5)","(109, 304, 58, 299, 162, 65, 207, 56, 138)","[[(2, 1)], 1]"
3,0,"(2, 3, 8, 7, 5, 1, 6)","(195, 128, 296, 363, 113, 161, 224)","[[], 1]"
3,1,"(6,)","(64,)","[[(3, 0)], 1]"
3,2,"(4, 2, 1, 3)","(274, 174, 65, 330)","[[(3, 1)], 1]"
3,3,"(8, 6, 5, 1, 0)","(353, 360, 197, 309, 301)","[[(3, 2)], 1]"
4,0,"(9, 3, 6, 8, 0, 7, 1, 2, 4, 5)","(357, 303, 173, 254, 52, 148, 284, 135, 252, 181)","[[], 1]"
4,1,"(3, 0, 6, 4, 5, 9, 1, 2)","(396, 104, 137, 143, 283, 60, 398, 167)","[[(4, 0)], 1]"
4,2,"(5, 2, 1, 0)","(119, 285, 62, 288)","[[(4, 1)], 1]"
4,3,"(5, 7, 1, 2, 0, 8, 3, 6)","(83, 104, 397, 123, 133, 383, 195, 84)","[[(4, 2)], 1]"
4,4,"(9, 6, 0, 8, 7, 4)","(243, 169, 94, 218, 245, 200)","[[(4, 3)], 1]"
5,0,"(6, 4, 0, 3, 1, 8, 9, 7, 5, 2)","(264, 122, 251, 253, 312, 319, 225, 73, 167, 277)","[[], 1]"
5,1,"(5, 0, 3, 6, 1, 9, 2, 4, 8, 7)","(69, 259, 171, 347, 319, 396, 130, 50, 109, 377)","[[(5, 0)], 1]"
5,2,"(3, 5, 2, 8)","(293, 330, 377, 250)","[[(5, 1)], 1]"
6,0,"(2, 3, 6, 4, 9, 7, 0)","(50, 356, 351, 126, 231, 220, 256)","[[], 1]"
6,1,"(6, 9, 8, 5)","(257, 248, 58, 339)","[[(6, 0)], 1]"
6,2,"(5, 1, 3, 0, 2, 6, 7, 9)","(260, 114, 171, 387, 394, 253, 254, 144)","[[(6, 1)], 1]"
6,3,"(0, 5, 4, 2, 6, 9, 3, 7, 1)","(157, 256, 162, 267, 139, 69, 311, 332, 162)","[[(6, 2)], 1]"
7,0,"(9, 2, 4, 7, 6)","(145, 51, 306, 264, 210)","[[], 1]"
7,1,"(2, 5, 3, 8, 0)","(243, 348, 72, 242, 167)","[[(7, 0)], 1]"
7,2,"(1, 8, 5, 0, 4, 3, 2, 7, 9, 6)","(308, 394, 279, 269, 357, 368, 140, 313, 233, 285)","[[(7, 1)], 1]"
7,3,"(2, 5, 7, 1, 0, 3)","(153, 92, 247, 344, 194, 399)","[[(7, 2)], 1]"
8,0,"(1, 0, 5, 6, 8)","(361, 83, 77, 174, 309)","[[], 1]"
8,1,"(4, 8, 9)","(80, 134, 88)","[[(8, 0)], 1]"
8,2,"(1, 2, 3, 7, 8, 0, 5)","(109, 354, 138, 311, 278, 163, 376)","[[(8, 1)], 1]"
8,3,"(0, 8, 3, 4, 1)","(137, 249, 166, 391, 291)","[[(8, 2)], 1]"
8,4,"(7, 2, 8, 9, 6, 5, 0)","(287, 132, 339, 391, 378, 292, 159)","[[(8, 3)], 1]"
9,0,"(14, 12, 13, 10, 11)","(87, 321, 335, 345, 203)","[[(8, 4), (2, 2)], [2, 2]]"
9,1,"(10, 13)","(122, 128)","[[(9, 0), (5, 2)], [2, 1]]"
10,0,"(11, 14, 12, 13)","(154, 167, 385, 125)","[[(3, 3), (0, 2)], [1, 1]]"
10,1,"(13, 14)","(68, 170)","[[(7, 3), (6, 3)], [2, 2]]"
10,2,"(13, 11, 14, 10)","(273, 87, 65, 55)","[[(10, 0), (10, 1)], [1, 3]]"
11,0,"(14, 13, 10)","(82, 345, 328)","[[(1, 2), (4, 4)], [2, 2]]"
11,1,"(13, 10, 12, 14)","(49, 209, 134, 196)","[[(11, 0), (0, 2)], [1, 1]]"
12,0,"(12, 13)","(236, 303)","[[(0, 2), (2, 2)], [2, 2]]"
12,1,"(13, 12)","(137, 255)","[[(12, 0), (1, 2)], [3, 3]]"
