kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 2, 1)","(18, 17, 17)","[[], [1]]"
0,1,"(1, 6)","(18, 14)","[[(0, 0)], [1]]"
1,0,"(5, 2, 3, 4, 7)","(10, 18, 10, 11, 16)","[[], [1]]"
1,1,"(2, 5, 6)","(20, 20, 10)","[[(1, 0)], [1]]"
2,0,"(4, 5, 1, 6, 3)","(19, 17, 15, 13, 15)","[[], [1]]"
2,1,"(4, 2)","(11, 13)","[[(2, 0)], [1]]"
3,0,"(6, 1)","(19, 13)","[[], [1]]"
3,1,"(5, 1, 3, 6, 0, 7)","(13, 12, 18, 17, 11, 11)","[[(3, 0)], [1]]"
4,0,"(11, 8, 10, 9)","(15, 18, 17, 11)","[[(3, 1), (0, 1)], [1, 2]]"
4,1,"(11,)","(14,)","[[(4, 0), (1, 1)], [2, 1]]"
4,2,"(10, 11, 9)","(18, 14, 11)","[[(4, 1), (2, 1)], [2, 1]]"
5,0,"(11, 9, 8, 10)","(18, 15, 18, 13)","[[(2, 1), (1, 1)], [1, 1]]"
5,1,"(8, 10, 11)","(19, 18, 19)","[[(3, 1), (0, 1)], [1, 2]]"
5,2,"(8, 9)","(14, 17)","[[(5, 0), (5, 1)], [2, 1]]"
