kind,task,machine_selectable,process_time,cost_count
0,0,"(2, 3)","(18, 17)","[[], [1]]"
0,1,"(0,)","(17,)","[[(0, 0)], [1]]"
1,0,"(3, 0, 2)","(18, 14, 10)","[[], [1]]"
1,1,"(1, 0)","(18, 10)","[[(1, 0)], [1]]"
2,0,"(1, 2, 3)","(11, 16, 20)","[[], [1]]"
2,1,"(0,)","(20,)","[[(2, 0)], [1]]"
3,0,"(1,)","(10,)","[[], [1]]"
3,1,"(0, 2, 3)","(19, 17, 15)","[[(3, 0)], [1]]"
4,0,"(4, 5)","(13, 15)","[[(3, 1), (0, 1)], [1, 1]]"
4,1,"(5,)","(11,)","[[(4, 0), (1, 1)], [2, 2]]"
4,2,"(4, 5)","(13, 19)","[[(4, 1), (2, 1)], [1, 2]]"
5,0,"(5, 4)","(13, 13)","[[(2, 1), (1, 1)], [2, 1]]"
5,1,"(4, 5)","(12, 18)","[[(3, 1), (0, 1)], [2, 1]]"
5,2,"(5,)","(17,)","[[(5, 0), (5, 1)], [2, 2]]"
