kind,task,machine_selectable,process_time,cost_count
0,0,"(4,)","(191,)","[[], 1]"
0,1,"(1, 8, 6, 9, 3, 5, 2)","(140, 219, 50, 378, 163, 168, 272)","[[(0, 0)], 1]"
0,2,"(4, 5, 0, 8, 9, 6, 2)","(90, 103, 195, 194, 192, 105, 304)","[[(0, 1)], 1]"
0,3,"(6, 0, 4, 9, 5, 3, 1, 2, 8)","(275, 291, 395, 395, 116, 66, 142, 399, 212)","[[(0, 2)], 1]"
0,4,"(4, 1, 7, 8)","(306, 395, 357, 281)","[[(0, 3)], 1]"
1,0,"(9, 0, 1, 4)","(95, 42, 380, 277)","[[], 1]"
1,1,"(7, 3, 1, 9, 0, 5, 4, 8, 2, 6)","(67, 362, 214, 372, 127, 240, 327, 387, 180, 371)","[[(1, 0)], 1]"
1,2,"(1, 3, 8, 5, 0)","(107, 72, 213, 111, 151)","[[(1, 1)], 1]"
2,0,"(5, 8, 4, 2, 7, 6, 1, 3, 9, 0)","(71, 61, 67, 91, 160, 306, 139, 305, 75, 388)","[[], 1]"
2,1,"(1, 7, 2, 6, 0, 4, 9, 3)","(320, 205, 154, 302, 177, 209, 168, 144)","[[(2, 0)], 1]"
2,2,"(6, 7, 3, 4, 8, 1, 2, 9, 5)","(385, 40, 199, 57, 110, 105, 240, 192, 132)","[[(2, 1)], 1]"
2,3,"(1, 6)","(191, 368)","[[(2, 2)], 1]"
2,4,"(7,)","(228,)","[[(2, 3)], 1]"
3,0,"(2, 1, 9, 8, 4, 7, 5, 3, 0)","(327, 78, 296, 249, 271, 264, 389, 230, 229)","[[], 1]"
3,1,"(5, 7, 9, 4, 0, 2, 3)","(316, 88, 318, 212, 362, 355, 196)","[[(3, 0)], 1]"
3,2,"(4, 1, 3, 2, 9, 7, 6, 0, 5, 8)","(127, 273, 231, 52, 393, 203, 328, 387, 164, 189)","[[(3, 1)], 1]"
3,3,"(5, 4, 7, 6, 1, 0)","(212, 128, 154, 182, 188, 357)","[[(3, 2)], 1]"
4,0,"(6, 9, 8, 0, 1, 2, 4, 5, 7)","(277, 91, 167, 286, 48, 238, 386, 366, 399)","[[], 1]"
4,1,"(1, 8, 9, 3, 2, 7, 0)","(102, 71, 380, 163, 249, 213, 334)","[[(4, 0)], 1]"
4,2,"(5, 3, 8)","(222, 261, 283)","[[(4, 1)], 1]"
4,3,"(4, 8, 2)","(361, 286, 375)","[[(4, 2)], 1]"
5,0,"(0, 8, 6, 1, 5, 4, 3)","(131, 399, 346, 342, 350, 151, 124)","[[], 1]"
5,1,"(4, 0)","(153, 62)","[[(5, 0)], 1]"
5,2,"(0, 7, 9, 5, 1, 3)","(243, 212, 199, 374, 188, 298)","[[(5, 1)], 1]"
5,3,"(7, 9, 2)","(388, 352, 90)","[[(5, 2)], 1]"
5,4,"(3, 2, 0, 8, 9)","(195, 273, 218, 308, 84)","[[(5, 3)], 1]"
6,0,"(0, 5, 3)","(141, 239, 116)","[[], 1]"
6,1,"(8, 1, 5)","(237, 158, 393)","[[(6, 0)], 1]"
6,2,"(5, 0, 3, 7, 9, 2, 8, 6, 1, 4)","(366, 135, 247, 40, 319, 318, 56, 277, 139, 376)","[[(6, 1)], 1]"
7,0,"(4, 1, 6, 3, 7)","(150, 369, 383, 70, 147)","[[], 1]"
7,1,"(1, 7, 8, 5, 0, 4, 6, 2)","(347, 214, 187, 59, 184, 90, 239, 396)","[[(7, 0)], 1]"
7,2,"(5, 8, 6, 2, 3, 9)","(144, 312, 342, 283, 86, 214)","[[(7, 1)], 1]"
7,3,"(8, 2, 1)","(382, 223, 271)","[[(7, 2)], 1]"
7,4,"(9, 0, 2, 8, 3, 5, 6, 1)","(68, 259, 185, 43, 361, 343, 83, 272)","[[(7, 3)], 1]"
8,0,"(1, 9, 6, 7, 3, 4, 5, 2)","(268, 140, 393, 226, 275, 368, 114, 359)","[[], 1]"
8,1,"(7, 5, 3)","(338, 84, 351)","[[(8, 0)], 1]"
8,2,"(9, 1, 0, 2, 3, 4, 7, 8)","(139, 116, 355, 137, 136, 65, 352, 139)","[[(8, 1)], 1]"
8,3,"(2, 8, 6, 4, 7, 3)","(99, 321, 214, 166, 247, 56)","[[(8, 2)], 1]"
9,0,"(6, 9, 8, 0, 1, 7)","(211, 288, 173, 167, 277, 118)","[[], 1]"
9,1,"(4, 2, 5, 3, 9, 7, 8, 1, 6)","(236, 139, 61, 258, 330, 139, 346, 296, 210)","[[(9, 0)], 1]"
9,2,"(6, 3, 7, 4, 2, 9, 0)","(73, 141, 76, 134, 225, 184, 50)","[[(9, 1)], 1]"
9,3,"(1, 5, 8, 2, 7, 0, 6)","(298, 104, 46, 379, 361, 116, 375)","[[(9, 2)], 1]"
10,0,"(9, 6, 8, 3, 0, 1, 2, 5)","(55, 93, 308, 266, 239, 286, 160, 80)","[[], 1]"
10,1,"(2, 7, 4, 5, 1, 9, 8, 0, 6, 3)","(172, 302, 253, 217, 359, 80, 266, 231, 202, 146)","[[(10, 0)], 1]"
10,2,"(3, 8)","(161, 177)","[[(10, 1)], 1]"
10,3,"(9,)","(330,)","[[(10, 2)], 1]"
11,0,"(7, 2, 5, 0)","(96, 85, 312, 101)","[[], 1]"
11,1,"(6, 2, 5)","(236, 390, 296)","[[(11, 0)], 1]"
11,2,"(5, 6)","(211, 247)","[[(11, 1)], 1]"
11,3,"(7, 2, 3, 9, 8, 0)","(88, 255, 129, 295, 339, 229)","[[(11, 2)], 1]"
