kind,task,machine_selectable,process_time,cost_count
0,0,"(2, 3, 1)","(12, 13, 12)","[[], [1]]"
0,1,"(0, 2, 1, 3)","(10, 19, 20, 14)","[[(0, 0)], [1]]"
0,2,"(3,)","(17,)","[[(0, 1)], [1]]"
0,3,"(1, 0, 2)","(11, 11, 20)","[[(0, 2)], [1]]"
1,0,"(1, 2, 3, 0)","(12, 12, 10, 11)","[[], [1]]"
1,1,"(0, 3, 2)","(18, 20, 16)","[[(1, 0)], [1]]"
1,2,"(1, 0)","(18, 14)","[[(1, 1)], [1]]"
1,3,"(0, 2, 3, 1)","(18, 13, 13, 20)","[[(1, 2)], [1]]"
2,0,"(2, 3, 0, 1)","(19, 16, 19, 14)","[[], [1]]"
2,1,"(2, 1, 3)","(17, 17, 20)","[[(2, 0)], [1]]"
2,2,"(0,)","(20,)","[[(2, 1)], [1]]"
2,3,"(1,)","(15,)","[[(2, 2)], [1]]"
3,0,"(2,)","(11,)","[[], [1]]"
3,1,"(0, 2, 1, 3)","(15, 19, 11, 17)","[[(3, 0)], [1]]"
3,2,"(0,)","(19,)","[[(3, 1)], [1]]"
3,3,"(3, 2, 1, 0)","(20, 15, 13, 13)","[[(3, 2)], [1]]"
4,0,"(2, 3, 0)","(10, 14, 11)","[[], [1]]"
4,1,"(3, 1)","(13, 15)","[[(4, 0)], [1]]"
4,2,"(0, 1, 2)","(12, 15, 16)","[[(4, 1)], [1]]"
4,3,"(1,)","(10,)","[[(4, 2)], [1]]"
5,0,"(1, 2)","(11, 12)","[[], [1]]"
5,1,"(2, 0)","(13, 10)","[[(5, 0)], [1]]"
5,2,"(2, 1)","(19, 20)","[[(5, 1)], [1]]"
5,3,"(2, 1)","(18, 19)","[[(5, 2)], [1]]"
6,0,"(0, 1, 3, 2)","(20, 11, 10, 11)","[[], [1]]"
6,1,"(3,)","(20,)","[[(6, 0)], [1]]"
6,2,"(0,)","(13,)","[[(6, 1)], [1]]"
6,3,"(0, 1, 2)","(19, 19, 11)","[[(6, 2)], [1]]"
7,0,"(1, 0, 2, 3)","(16, 11, 15, 11)","[[], [1]]"
7,1,"(1,)","(10,)","[[(7, 0)], [1]]"
7,2,"(2, 0, 1)","(19, 10, 13)","[[(7, 1)], [1]]"
7,3,"(3, 0, 2)","(12, 11, 17)","[[(7, 2)], [1]]"
8,0,"(4,)","(13,)","[[(6, 3), (0, 3)], [1, 1]]"
8,1,"(5, 4)","(10, 20)","[[(8, 0), (2, 3)], [2, 1]]"
8,2,"(5,)","(10,)","[[(8, 1), (4, 3)], [1, 2]]"
9,0,"(5, 4)","(18, 16)","[[(7, 3), (3, 3)], [1, 2]]"
9,1,"(4, 5)","(19, 11)","[[(5, 3), (1, 3)], [2, 2]]"
9,2,"(4,)","(14,)","[[(9, 0), (9, 1)], [1, 1]]"
10,0,"(5, 4)","(11, 13)","[[(2, 3), (7, 3)], [1, 1]]"
10,1,"(4, 5)","(11, 20)","[[(10, 0), (1, 3)], [1, 2]]"
11,0,"(5,)","(14,)","[[(4, 3), (7, 3)], [2, 1]]"
11,1,"(5, 4)","(15, 16)","[[(11, 0), (5, 3)], [2, 1]]"
