kind,task,machine_selectable,process_time,cost_count
0,0,"(8, 4, 5, 2, 1)","(202, 51, 344, 307, 330)","[[], 1]"
0,1,"(1,)","(389,)","[[(0, 0)], 1]"
0,2,"(2, 3, 9, 4, 1, 8, 7, 5, 6, 0)","(303, 65, 103, 214, 68, 324, 104, 226, 254, 324)","[[(0, 1)], 1]"
0,3,"(7,)","(54,)","[[(0, 2)], 1]"
1,0,"(9, 0, 1, 6, 2, 8)","(122, 118, 201, 126, 393, 244)","[[], 1]"
1,1,"(5, 6, 7, 3, 0, 2, 1, 4)","(179, 87, 329, 241, 175, 400, 182, 150)","[[(1, 0)], 1]"
1,2,"(1, 2, 7, 3, 6, 8, 5, 9, 4, 0)","(46, 304, 117, 387, 393, 328, 87, 112, 289, 182)","[[(1, 1)], 1]"
1,3,"(0, 2, 7)","(130, 281, 306)","[[(1, 2)], 1]"
1,4,"(7, 4, 1, 5, 6, 0, 9, 8)","(179, 258, 209, 237, 103, 391, 188, 203)","[[(1, 3)], 1]"
2,0,"(1, 3, 2, 4, 8, 7, 9, 6, 5, 0)","(92, 371, 81, 267, 220, 54, 93, 43, 334, 244)","[[], 1]"
2,1,"(0, 1, 8, 2, 3, 6, 4)","(135, 147, 197, 265, 210, 87, 235)","[[(2, 0)], 1]"
2,2,"(8, 3, 1, 0, 6, 9, 7)","(105, 70, 300, 327, 389, 149, 41)","[[(2, 1)], 1]"
2,3,"(8, 9, 7, 6, 5, 4, 2, 3, 0)","(271, 160, 221, 396, 268, 369, 322, 150, 345)","[[(2, 2)], 1]"
2,4,"(2, 4, 5, 7)","(187, 234, 62, 196)","[[(2, 3)], 1]"
3,0,"(3, 8, 6, 1)","(78, 303, 188, 57)","[[], 1]"
3,1,"(0, 3, 6, 2, 8, 4, 9)","(142, 263, 291, 242, 42, 189, 62)","[[(3, 0)], 1]"
3,2,"(8, 1)","(210, 255)","[[(3, 1)], 1]"
3,3,"(1,)","(373,)","[[(3, 2)], 1]"
3,4,"(2, 5, 0, 8)","(181, 116, 121, 76)","[[(3, 3)], 1]"
4,0,"(8, 4, 9, 5, 2)","(123, 206, 316, 101, 264)","[[], 1]"
4,1,"(4, 0, 1, 2, 8, 6, 5)","(120, 87, 87, 398, 45, 292, 182)","[[(4, 0)], 1]"
4,2,"(3, 5, 2, 4, 9, 7, 1, 6)","(167, 131, 274, 292, 209, 160, 161, 272)","[[(4, 1)], 1]"
5,0,"(3, 2, 6, 0)","(77, 139, 310, 63)","[[], 1]"
5,1,"(1, 0)","(144, 68)","[[(5, 0)], 1]"
5,2,"(4, 0)","(223, 48)","[[(5, 1)], 1]"
5,3,"(8, 5, 1, 2, 7, 6, 4, 9)","(287, 261, 176, 283, 396, 94, 319, 370)","[[(5, 2)], 1]"
6,0,"(3, 7)","(376, 50)","[[], 1]"
6,1,"(4, 3, 2, 8, 9, 0, 5, 7)","(283, 346, 80, 270, 371, 203, 195, 116)","[[(6, 0)], 1]"
6,2,"(9, 6, 8)","(255, 178, 58)","[[(6, 1)], 1]"
6,3,"(4, 6, 8, 2, 3)","(171, 341, 128, 266, 188)","[[(6, 2)], 1]"
7,0,"(8, 2, 0, 7, 6)","(212, 173, 290, 335, 110)","[[], 1]"
7,1,"(4, 9, 0)","(356, 48, 135)","[[(7, 0)], 1]"
7,2,"(0, 3, 8, 9, 1, 2, 4, 6, 7)","(126, 99, 135, 238, 143, 113, 85, 230, 116)","[[(7, 1)], 1]"
7,3,"(2, 6, 0, 9, 5, 4)","(41, 93, 370, 159, 132, 274)","[[(7, 2)], 1]"
7,4,"(2, 7, 8, 3, 4, 0, 5, 1, 6, 9)","(47, 320, 270, 331, 290, 267, 139, 62, 211, 200)","[[(7, 3)], 1]"
8,0,"(1, 6, 3, 5, 2, 9, 4, 0, 8)","(373, 333, 255, 291, 91, 371, 164, 358, 131)","[[], 1]"
8,1,"(5, 2, 1, 8, 7, 4)","(88, 75, 308, 65, 213, 369)","[[(8, 0)], 1]"
8,2,"(3, 2, 5)","(247, 64, 78)","[[(8, 1)], 1]"
8,3,"(3, 4, 9, 5)","(112, 177, 289, 352)","[[(8, 2)], 1]"
8,4,"(3, 5, 7, 6, 8, 1, 2, 4, 0)","(306, 276, 227, 103, 317, 293, 235, 159, 159)","[[(8, 3)], 1]"
9,0,"(5,)","(133,)","[[], 1]"
9,1,"(8,)","(296,)","[[(9, 0)], 1]"
9,2,"(5, 4, 1, 2)","(173, 70, 211, 338)","[[(9, 1)], 1]"
9,3,"(0, 8, 2, 1, 3, 6, 9, 7)","(88, 131, 117, 353, 277, 86, 396, 113)","[[(9, 2)], 1]"
9,4,"(9, 7, 4, 0)","(387, 192, 349, 305)","[[(9, 3)], 1]"
10,0,"(12,)","(269,)","[[(5, 3), (4, 2)], [2, 3]]"
10,1,"(13, 12, 10, 11)","(203, 180, 117, 324)","[[(6, 3), (0, 3)], [3, 3]]"
10,2,"(13,)","(240,)","[[(10, 0), (10, 1)], [3, 2]]"
11,0,"(11,)","(305,)","[[(1, 4), (2, 4)], [3, 1]]"
11,1,"(12, 10, 13, 11, 14)","(295, 118, 373, 56, 154)","[[(11, 0), (9, 4)], [3, 1]]"
12,0,"(14, 13, 11, 10, 12)","(284, 123, 170, 110, 309)","[[(8, 4), (3, 4)], [3, 3]]"
12,1,"(14, 13, 12, 11, 10)","(176, 278, 162, 254, 202)","[[(12, 0), (7, 4)], [1, 2]]"
12,2,"(14,)","(191,)","[[(12, 1), (2, 4)], [1, 2]]"
13,0,"(12, 13, 14)","(110, 178, 367)","[[(1, 4), (4, 2)], [3, 2]]"
13,1,"(10, 12, 11, 14)","(309, 118, 142, 329)","[[(3, 4), (5, 3)], [1, 2]]"
13,2,"(13,)","(223,)","[[(13, 0), (13, 1)], [2, 1]]"
14,0,"(10, 12, 14, 11, 13)","(172, 123, 54, 283, 203)","[[(8, 4), (9, 4)], [3, 2]]"
