kind,task,machine_selectable,process_time,cost_count
0,0,"(8,)","(279,)","[[], 1]"
0,1,"(8, 9, 1, 2, 5, 7, 6, 3, 4, 0)","(370, 333, 207, 312, 205, 286, 386, 355, 239, 278)","[[(0, 0)], 1]"
0,2,"(1, 9, 2, 7, 8, 4)","(138, 356, 266, 53, 387, 275)","[[(0, 1)], 1]"
0,3,"(4,)","(353,)","[[(0, 2)], 1]"
0,4,"(0, 8, 9, 4, 7)","(140, 92, 119, 129, 117)","[[(0, 3)], 1]"
1,0,"(2, 4, 7, 3, 5, 0, 9, 1, 6, 8)","(395, 249, 307, 209, 327, 366, 235, 214, 400, 300)","[[], 1]"
1,1,"(4,)","(310,)","[[(1, 0)], 1]"
1,2,"(7, 5, 3, 6)","(136, 126, 74, 234)","[[(1, 1)], 1]"
1,3,"(5, 4, 7, 8, 9)","(202, 241, 320, 382, 162)","[[(1, 2)], 1]"
2,0,"(2, 9, 0, 4, 1, 8, 5, 7, 6)","(389, 201, 238, 116, 168, 60, 368, 132, 179)","[[], 1]"
2,1,"(1, 0, 9)","(111, 74, 68)","[[(2, 0)], 1]"
2,2,"(5, 4)","(374, 47)","[[(2, 1)], 1]"
2,3,"(8, 0, 9)","(263, 233, 220)","[[(2, 2)], 1]"
2,4,"(6, 4, 7, 1, 3)","(86, 62, 122, 380, 167)","[[(2, 3)], 1]"
3,0,"(3, 6, 9, 8)","(69, 268, 103, 185)","[[], 1]"
3,1,"(1, 4, 0, 8, 3, 7, 6, 5)","(142, 218, 156, 43, 363, 153, 380, 44)","[[(3, 0)], 1]"
3,2,"(1, 4, 8, 2, 3, 7, 6, 5, 0)","(320, 99, 284, 324, 259, 215, 270, 170, 353)","[[(3, 1)], 1]"
4,0,"(1,)","(334,)","[[], 1]"
4,1,"(8, 4, 5, 7, 2, 9)","(151, 201, 313, 390, 312, 104)","[[(4, 0)], 1]"
4,2,"(4,)","(373,)","[[(4, 1)], 1]"
4,3,"(4,)","(394,)","[[(4, 2)], 1]"
4,4,"(0, 9, 5)","(135, 275, 223)","[[(4, 3)], 1]"
5,0,"(2, 8, 5, 7, 0, 3)","(85, 307, 309, 301, 370, 399)","[[], 1]"
5,1,"(6, 0, 7, 5, 2, 4, 9, 3)","(388, 107, 314, 211, 336, 385, 214, 286)","[[(5, 0)], 1]"
5,2,"(7, 3, 6, 0, 1, 8, 9, 2, 5, 4)","(77, 238, 355, 67, 164, 124, 354, 157, 364, 208)","[[(5, 1)], 1]"
5,3,"(5, 3, 0, 6, 4, 1, 9)","(244, 41, 325, 345, 90, 170, 223)","[[(5, 2)], 1]"
5,4,"(7, 5, 0, 2, 6, 8, 4, 1, 3)","(122, 258, 290, 215, 269, 103, 267, 392, 54)","[[(5, 3)], 1]"
6,0,"(2,)","(189,)","[[], 1]"
6,1,"(1, 7, 5, 0, 6, 4)","(188, 110, 145, 265, 127, 61)","[[(6, 0)], 1]"
6,2,"(5, 1, 8, 4, 2, 7, 3, 0, 6, 9)","(277, 78, 238, 124, 181, 388, 263, 349, 91, 230)","[[(6, 1)], 1]"
6,3,"(3, 6, 5, 1, 2, 0, 9)","(146, 83, 258, 354, 219, 270, 319)","[[(6, 2)], 1]"
7,0,"(1,)","(168,)","[[], 1]"
7,1,"(7, 0, 8, 5, 9, 3, 2, 4)","(176, 40, 140, 117, 143, 106, 365, 315)","[[(7, 0)], 1]"
7,2,"(3, 8, 1, 0, 2, 9, 6, 5, 4)","(368, 263, 258, 317, 59, 110, 285, 367, 189)","[[(7, 1)], 1]"
7,3,"(0, 3, 1, 8, 5, 4, 9, 7)","(250, 127, 315, 361, 264, 275, 370, 101)","[[(7, 2)], 1]"
8,0,"(8, 4, 3, 2, 1)","(381, 364, 394, 164, 173)","[[], 1]"
8,1,"(1, 2, 5, 3, 0, 7, 9, 4)","(252, 182, 149, 318, 206, 77, 70, 301)","[[(8, 0)], 1]"
8,2,"(6, 5)","(251, 78)","[[(8, 1)], 1]"
8,3,"(8, 7, 1, 4, 2, 9, 6, 5, 0)","(79, 133, 122, 282, 290, 391, 79, 347, 134)","[[(8, 2)], 1]"
9,0,"(1, 7, 0, 4, 9, 5, 6)","(187, 288, 274, 247, 343, 397, 350)","[[], 1]"
9,1,"(8, 7)","(299, 140)","[[(9, 0)], 1]"
9,2,"(9, 2, 0, 7, 4, 8, 1, 6, 3)","(136, 183, 94, 53, 238, 88, 284, 272, 130)","[[(9, 1)], 1]"
