kind,task,machine_selectable,process_time,cost_count
0,0,"(6, 11, 4, 10, 2, 8, 1, 7, 9, 3, 0)","(11, 15, 18, 17, 11, 14, 18, 14, 11, 18, 15)","[[], [1]]"
0,1,"(5, 2, 3, 4, 9, 0)","(18, 13, 19, 18, 19, 14)","[[(0, 0)], [1]]"
0,2,"(6, 1, 10, 2, 7, 5, 11, 0)","(17, 11, 19, 16, 15, 19, 13, 14)","[[(0, 1)], [1]]"
0,3,"(2, 4, 8, 9, 5, 6, 1, 0, 7)","(12, 13, 12, 10, 19, 20, 14, 17, 11)","[[(0, 2)], [1]]"
1,0,"(1, 9)","(11, 20)","[[], [1]]"
1,1,"(3, 7, 2, 9, 8, 1)","(12, 12, 10, 11, 18, 20)","[[(1, 0)], [1]]"
1,2,"(0, 6, 4, 2, 5, 3, 11)","(16, 18, 14, 18, 13, 13, 20)","[[(1, 1)], [1]]"
1,3,"(1, 2, 11, 7, 9, 6)","(19, 16, 19, 14, 17, 17)","[[(1, 2)], [1]]"
2,0,"(9, 7, 10, 1, 0, 6, 5, 2, 3, 11)","(20, 20, 15, 11, 15, 19, 11, 17, 19, 20)","[[], [1]]"
2,1,"(11, 9, 7, 8, 6, 4, 2, 1, 10, 5, 0)","(15, 13, 13, 10, 14, 11, 13, 15, 12, 15, 16)","[[(2, 0)], [1]]"
2,2,"(8, 6, 3, 4)","(10, 11, 12, 13)","[[(2, 1)], [1]]"
2,3,"(0, 1, 4, 8, 5, 11, 3, 6, 10)","(10, 19, 20, 18, 19, 20, 11, 10, 11)","[[(2, 2)], [1]]"
3,0,"(7, 8, 6, 5, 0, 3, 9, 11)","(20, 13, 19, 19, 11, 16, 11, 15)","[[], [1]]"
3,1,"(1, 5, 4, 8, 7, 2, 3, 9)","(11, 10, 19, 10, 13, 12, 11, 17)","[[(3, 0)], [1]]"
3,2,"(1, 11, 7, 4, 6, 0, 5, 9, 10)","(13, 10, 20, 10, 18, 16, 19, 11, 14)","[[(3, 1)], [1]]"
3,3,"(6, 11, 1, 10, 7)","(11, 13, 11, 20, 14)","[[(3, 2)], [1]]"
4,0,"(2,)","(15,)","[[], [1]]"
4,1,"(2, 11, 8, 10, 9, 4, 7, 0, 1)","(16, 12, 10, 18, 17, 10, 19, 11, 16)","[[(4, 0)], [1]]"
4,2,"(4,)","(13,)","[[(4, 1)], [1]]"
4,3,"(10, 11)","(14, 15)","[[(4, 2)], [1]]"
5,0,"(1, 2, 4, 8, 9, 0, 10, 7, 5, 11, 3, 6)","(17, 19, 12, 20, 13, 10, 20, 12, 12, 15, 18, 14)","[[], [1]]"
5,1,"(4, 10, 0, 9, 11, 1, 7)","(11, 19, 17, 20, 12, 10, 17)","[[(5, 0)], [1]]"
5,2,"(4, 8, 1, 0, 5, 2, 6, 10, 9, 7, 11, 3)","(20, 16, 19, 18, 14, 20, 15, 16, 20, 14, 12, 18)","[[(5, 1)], [1]]"
5,3,"(3, 6, 9, 0, 8, 2, 4, 1, 5, 10, 7)","(10, 17, 11, 15, 10, 18, 14, 12, 13, 17, 15)","[[(5, 2)], [1]]"
6,0,"(3, 1, 10, 11, 9, 7, 6, 5, 2, 0, 4)","(19, 14, 20, 15, 19, 20, 19, 12, 14, 16, 16)","[[], [1]]"
6,1,"(2,)","(20,)","[[(6, 0)], [1]]"
6,2,"(0, 9, 4, 8, 10, 1, 5, 6, 2, 11)","(11, 10, 19, 13, 15, 12, 13, 13, 20, 17)","[[(6, 1)], [1]]"
6,3,"(0, 6, 1, 3, 10, 8, 7, 11)","(16, 20, 19, 16, 10, 16, 19, 16)","[[(6, 2)], [1]]"
7,0,"(0, 8, 9, 5, 3, 4)","(20, 10, 12, 17, 11, 14)","[[], [1]]"
7,1,"(7, 8, 11, 6)","(12, 17, 18, 17)","[[(7, 0)], [1]]"
7,2,"(1, 7, 5, 3, 9, 8, 4, 2, 11, 6, 0, 10)","(18, 19, 10, 10, 17, 15, 14, 17, 10, 16, 13, 18)","[[(7, 1)], [1]]"
7,3,"(6, 4, 8, 10, 1, 2)","(20, 11, 12, 10, 16, 20)","[[(7, 2)], [1]]"
8,0,"(14, 13, 16, 17, 15, 12)","(16, 15, 10, 13, 10, 10)","[[(6, 3), (0, 3)], [2, 1]]"
8,1,"(13,)","(20,)","[[(8, 0), (2, 3)], [1, 2]]"
8,2,"(15, 13)","(18, 19)","[[(8, 1), (4, 3)], [1, 1]]"
9,0,"(17, 13, 12, 16, 15)","(11, 13, 11, 19, 20)","[[(7, 3), (3, 3)], [1, 1]]"
9,1,"(15, 14)","(13, 14)","[[(5, 3), (1, 3)], [2, 2]]"
9,2,"(15, 12)","(14, 12)","[[(9, 0), (9, 1)], [2, 1]]"
10,0,"(14, 12)","(11, 17)","[[(2, 3), (7, 3)], [2, 2]]"
10,1,"(12, 13, 16, 15, 14)","(16, 20, 11, 10, 14)","[[(10, 0), (1, 3)], [2, 2]]"
11,0,"(13, 17, 12, 16)","(17, 11, 14, 12)","[[(4, 3), (7, 3)], [1, 1]]"
11,1,"(12,)","(20,)","[[(11, 0), (5, 3)], [2, 2]]"
