kind,task,machine_selectable,process_time,cost_count
0,0,"(5, 7, 9, 4, 2)","(146, 322, 90, 57, 373)","[[], 1]"
0,1,"(8, 6, 7, 0, 2)","(310, 259, 172, 251, 301)","[[(0, 0)], 1]"
0,2,"(6, 8, 0, 3, 1, 7, 2, 4, 9, 5)","(368, 249, 228, 399, 108, 120, 273, 190, 297, 191)","[[(0, 1)], 1]"
1,0,"(9, 2, 4, 5, 1, 3, 7, 0, 8, 6)","(41, 256, 107, 107, 161, 166, 77, 400, 207, 196)","[[], 1]"
1,1,"(9, 3, 0, 6, 2)","(130, 350, 226, 164, 42)","[[(1, 0)], 1]"
1,2,"(3, 5, 9, 4, 6, 1, 7, 0)","(149, 356, 157, 237, 211, 333, 83, 301)","[[(1, 1)], 1]"
2,0,"(1, 3, 2, 7)","(94, 185, 315, 235)","[[], 1]"
2,1,"(9, 1, 5, 7)","(291, 181, 185, 311)","[[(2, 0)], 1]"
2,2,"(8,)","(195,)","[[(2, 1)], 1]"
2,3,"(9, 8)","(146, 342)","[[(2, 2)], 1]"
2,4,"(6, 2, 1, 4, 9, 5, 0, 8, 3, 7)","(398, 243, 293, 262, 179, 177, 302, 143, 303, 217)","[[(2, 3)], 1]"
3,0,"(5, 7, 2, 9, 4, 3, 8, 1, 6)","(297, 158, 223, 393, 152, 394, 350, 216, 87)","[[], 1]"
3,1,"(3, 7, 4, 0, 6, 5, 1, 2, 8)","(338, 256, 248, 294, 91, 258, 44, 357, 144)","[[(3, 0)], 1]"
3,2,"(7, 6)","(70, 84)","[[(3, 1)], 1]"
3,3,"(1,)","(279,)","[[(3, 2)], 1]"
4,0,"(9, 0, 5, 3, 4, 1, 2, 8, 7)","(88, 227, 379, 301, 347, 354, 142, 40, 73)","[[], 1]"
4,1,"(2, 1, 0, 3, 8, 4, 7, 6)","(64, 297, 270, 315, 58, 148, 368, 150)","[[(4, 0)], 1]"
4,2,"(7, 8)","(309, 296)","[[(4, 1)], 1]"
4,3,"(4, 8, 6)","(281, 383, 341)","[[(4, 2)], 1]"
4,4,"(0, 1)","(309, 123)","[[(4, 3)], 1]"
5,0,"(4, 7, 2, 8, 1, 5, 9, 3, 0, 6)","(225, 253, 280, 84, 61, 384, 389, 383, 127, 48)","[[], 1]"
5,1,"(0, 2, 6, 3, 7, 9, 8, 1, 4, 5)","(193, 266, 88, 385, 245, 183, 272, 286, 71, 270)","[[(5, 0)], 1]"
5,2,"(1, 0, 7, 8, 4, 6, 5, 3, 2, 9)","(233, 257, 188, 41, 370, 200, 331, 79, 77, 339)","[[(5, 1)], 1]"
5,3,"(3, 8, 4, 0)","(268, 360, 255, 143)","[[(5, 2)], 1]"
6,0,"(8, 4, 0, 9, 5, 2, 7, 3, 6)","(376, 358, 272, 221, 345, 132, 178, 288, 244)","[[], 1]"
6,1,"(1, 6, 8, 4, 2, 5, 3, 7)","(224, 361, 369, 48, 326, 194, 345, 200)","[[(6, 0)], 1]"
6,2,"(0, 1, 3, 5, 6, 2, 4)","(319, 286, 200, 182, 112, 195, 40)","[[(6, 1)], 1]"
6,3,"(1, 7, 3, 6, 5, 0, 2, 8)","(294, 116, 294, 396, 95, 391, 298, 273)","[[(6, 2)], 1]"
7,0,"(2, 0, 9, 7, 4, 5, 1, 6, 8)","(189, 96, 365, 263, 88, 156, 232, 152, 98)","[[], 1]"
7,1,"(0, 2, 5, 7, 9, 4, 3, 1, 8, 6)","(254, 266, 364, 102, 317, 252, 124, 275, 250, 359)","[[(7, 0)], 1]"
7,2,"(7, 8, 4, 9, 2, 0, 1, 6, 5)","(174, 258, 102, 258, 139, 346, 317, 365, 232)","[[(7, 1)], 1]"
8,0,"(3, 8, 0, 6)","(268, 61, 154, 104)","[[], 1]"
8,1,"(3, 8, 5, 7, 9, 6, 0, 2, 1, 4)","(240, 307, 155, 371, 113, 376, 71, 49, 47, 65)","[[(8, 0)], 1]"
8,2,"(4, 9, 3)","(246, 334, 279)","[[(8, 1)], 1]"
8,3,"(2, 4)","(248, 89)","[[(8, 2)], 1]"
9,0,"(0, 9, 2, 1, 8, 5, 3, 7)","(276, 328, 308, 205, 94, 230, 40, 283)","[[], 1]"
9,1,"(7, 1, 4, 3, 8, 6, 0, 2, 9, 5)","(104, 194, 396, 66, 246, 372, 129, 319, 76, 382)","[[(9, 0)], 1]"
9,2,"(4, 7)","(146, 230)","[[(9, 1)], 1]"
9,3,"(6, 7, 4, 9, 8, 2, 3)","(220, 226, 236, 298, 187, 258, 44)","[[(9, 2)], 1]"
9,4,"(7, 0, 9)","(230, 296, 284)","[[(9, 3)], 1]"
10,0,"(6, 4, 7, 2, 8, 0, 1, 3)","(187, 186, 86, 212, 48, 68, 234, 71)","[[], 1]"
10,1,"(6, 9, 1, 3, 5)","(395, 336, 158, 131, 247)","[[(10, 0)], 1]"
10,2,"(6, 2, 8, 0, 3)","(310, 383, 202, 344, 141)","[[(10, 1)], 1]"
10,3,"(5, 2, 6, 4, 8)","(42, 300, 223, 58, 397)","[[(10, 2)], 1]"
11,0,"(7,)","(97,)","[[], 1]"
11,1,"(7, 6)","(61, 209)","[[(11, 0)], 1]"
11,2,"(2, 8, 0, 9, 5, 3, 1, 6, 4)","(234, 97, 84, 274, 277, 116, 363, 152, 264)","[[(11, 1)], 1]"
11,3,"(4, 2, 1, 5)","(253, 72, 205, 60)","[[(11, 2)], 1]"
