kind,task,machine_selectable,process_time,cost_count
0,0,"(2,)","(13,)","[[], [1]]"
0,1,"(0,)","(10,)","[[(0, 0)], [1]]"
0,2,"(3,)","(20,)","[[(0, 1)], [1]]"
0,3,"(1, 0, 2, 3)","(10, 18, 16, 19)","[[(0, 2)], [1]]"
0,4,"(1,)","(11,)","[[(0, 3)], [1]]"
0,5,"(0, 3, 2, 1)","(14, 11, 13, 11)","[[(0, 4)], [1]]"
1,0,"(1, 0, 2)","(20, 14, 15)","[[], [1]]"
1,1,"(0, 2)","(16, 12)","[[(1, 0)], [1]]"
1,2,"(2, 3, 0)","(10, 18, 17)","[[(1, 1)], [1]]"
1,3,"(2,)","(10,)","[[(1, 2)], [1]]"
1,4,"(0, 3)","(19, 11)","[[(1, 3)], [1]]"
1,5,"(1, 2)","(16, 13)","[[(1, 4)], [1]]"
2,0,"(2, 1)","(14, 15)","[[], [1]]"
2,1,"(0, 2)","(17, 19)","[[(2, 0)], [1]]"
2,2,"(0, 1, 2, 3)","(12, 20, 13, 10)","[[(2, 1)], [1]]"
2,3,"(3,)","(20,)","[[(2, 2)], [1]]"
2,4,"(2,)","(12,)","[[(2, 3)], [1]]"
2,5,"(3, 1, 0)","(12, 15, 18)","[[(2, 4)], [1]]"
3,0,"(0, 1, 2, 3)","(14, 11, 19, 17)","[[], [1]]"
3,1,"(1,)","(20,)","[[(3, 0)], [1]]"
3,2,"(1, 2, 3)","(12, 10, 17)","[[(3, 1)], [1]]"
3,3,"(2, 0, 3)","(20, 16, 19)","[[(3, 2)], [1]]"
3,4,"(2,)","(18,)","[[(3, 3)], [1]]"
3,5,"(2, 1, 0)","(14, 20, 15)","[[(3, 4)], [1]]"
4,0,"(0, 1)","(16, 20)","[[], [1]]"
4,1,"(3, 2, 1)","(14, 12, 18)","[[(4, 0)], [1]]"
4,2,"(0, 2, 1, 3)","(10, 17, 11, 15)","[[(4, 1)], [1]]"
4,3,"(0,)","(10,)","[[(4, 2)], [1]]"
4,4,"(1, 0, 2, 3)","(18, 14, 12, 13)","[[(4, 3)], [1]]"
4,5,"(1, 2, 0)","(17, 15, 19)","[[(4, 4)], [1]]"
5,0,"(2, 0)","(14, 20)","[[], [1]]"
5,1,"(3, 0, 2)","(15, 19, 20)","[[(5, 0)], [1]]"
